file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
nep_6834_2343168829,0.0,6.133666666666667,mfa_input,-49.65017077895595,-48.70154901345571,30.410767589917292,6.189349694962921
nep_3614_9739435873,0.0,4.284666666666666,mfa_input,-48.82709367698598,-50.495102372280385,18.206964595629763,3.1099642133666965
nep_3960_6942887349,0.0,4.617666666666667,mfa_input,-48.616870434253244,-51.31083733694894,14.0755018333085,10.952637967443161
nep_2099_4518604406,0.0,8.677666666666667,mfa_input,-47.4111823156682,-49.0436700714959,13.981217606654289,13.02371388657577
nep_0546_1627945346,0.0,2.7596666666666665,mfa_input,-46.78073695086051,-47.92161727905273,12.833660941017028,6.481347642530885
nep_6834_6227221696,0.0,4.868333333333333,mfa_input,-46.971529292864474,-46.32532345164906,12.2127432706005,5.9113675847915985
nep_3960_1208267950,0.0,4.268666666666666,mfa_input,-47.80926613729508,-48.13301749456497,11.666425427099691,15.203238863181944
nep_2099_6752211697,0.0,4.469333333333333,mfa_input,-44.801100216722595,-44.21933804001919,11.591823749697834,17.705466173538966
nep_0546_3339057687,0.0,3.699333333333333,mfa_input,-50.050554265202706,-51.49191674732027,11.513130658090738,6.9352648193646065
nep_6329_7893307167,0.0,3.397,mfa_input,-52.484622012867646,-56.19192810058594,10.907232127084308,15.818936829030676
nep_9407_9558473002,0.0,4.84,mfa_input,-53.768833128873965,-55.253589422052556,9.898040028859931,5.173464653735088
nep_2099_3674649929,0.0,9.246333333333334,mfa_input,-46.97606418918919,-49.51714719425548,9.729061486017557,3.8253229860653803
nep_6834_1285463789,0.0,3.3966666666666665,mfa_input,-46.67906135110294,-49.43024033766527,9.729050383100725,8.591129663810682
nep_3997_0742450218,0.0,6.43,mfa_input,-48.527504738530325,-49.83054145689933,9.25789934338994,7.3249583412860595
nep_6834_6151409964,0.0,5.664,mfa_input,-44.21787350927562,-44.644926610982644,9.257895152225144,6.47921456139219
nep_6834_3697427797,0.0,7.257666666666666,mfa_input,-51.09274922520661,-53.43883781433105,9.161647773893234,4.0046184686372275
nep_2099_4853806205,0.0,11.386,mfa_input,-48.48932726075505,-50.21694298752216,9.108160469976276,0.772638744997943
nep_3960_8472496631,0.0,4.986666666666666,mfa_input,-48.05352893286573,-50.086986188535334,9.108145666087168,14.323201200963865
nep_6834_7347847874,0.0,9.94,mfa_input,-50.73881570674044,-51.91690334743924,9.108145666087168,6.582637896521996
nep_3960_3007505131,0.0,5.152,mfa_input,-48.54931735436893,-48.13000436929556,9.108145666087168,8.948784751387436
nep_2099_7770544995,0.0,10.209333333333333,mfa_input,-48.88046339373164,-50.17945652563595,9.108138264142614,7.942216386857114
nep_2099_7389359808,0.0,6.572,mfa_input,-47.639750998858446,-50.30493209838867,8.923352559370674,10.259676028953947
nep_6834_6449523850,0.0,4.206666666666667,mfa_input,-52.01643222980998,-55.47707029070173,8.92334983437001,3.448995264280482
nep_5687_2843806436,0.0,7.705333333333333,mfa_input,-49.621716926070036,-51.581120883717254,8.923330759365367,4.198676962214025
nep_2099_4459809718,0.0,9.435,mfa_input,-47.51279462394068,-48.69043959403525,8.695371263293561,7.48662174703831
nep_6834_7899693955,0.0,4.407,mfa_input,-50.343962585034014,-49.73051655292511,8.681700128339612,15.705564852485058
nep_2099_9278673147,0.0,7.298666666666667,mfa_input,-49.34585830479452,-50.63921445958755,8.517800411231574,8.529426117295586
nep_0546_3719657199,0.0,3.0,mfa_input,-46.60060546875,-47.78702921186175,8.4872261451845,15.756318262734828
nep_6834_6500910053,0.0,4.369666666666666,mfa_input,-45.873225650743706,-46.21889047364931,8.4872261451845,11.610028757096511
nep_6587_6872949881,0.0,3.6726666666666667,mfa_input,-48.09098795129428,-51.46188766077945,8.487222444212223,3.3542310969891957
nep_0546_5082066987,0.0,4.132666666666666,mfa_input,-44.681423085653755,-45.97905078887939,8.487218743239946,10.063690307360112
nep_2099_8370370643,0.0,9.935333333333332,mfa_input,-47.18477662852113,-49.486175101736315,8.487218743239946,11.446209202089918
nep_7957_9879087796,0.0,3.2676666666666665,mfa_input,-48.26270128535933,-51.95017398932041,8.487218743239946,14.19949479285791
nep_2099_2910899168,0.0,10.714,mfa_input,-48.01014676704015,-49.39175573984782,8.291685597312291,9.397325964228301
nep_6834_7865588733,0.0,3.4116666666666666,mfa_input,-49.871849798387096,-50.14173522362342,8.13445491685592,10.874194017927802
nep_0546_8455289154,0.0,7.905333333333333,mfa_input,-45.79250454329962,-46.22530447406533,8.125317335922379,7.976796577168539
nep_2099_4770237520,0.0,8.653333333333334,mfa_input,-48.714324421965316,-50.28289710391652,8.008994936794334,6.261069057096433
nep_0883_3153528178,0.0,6.769,mfa_input,-51.26987744645495,-53.62837750724192,8.008994936794334,22.03532888610247
nep_6834_3505991573,0.0,6.458333333333333,mfa_input,-49.60757909249226,-51.98312645527854,8.008994936794334,5.084843735299527
nep_6834_3288636356,0.0,11.330333333333334,mfa_input,-52.92405050198588,-53.99698424825863,7.902758396481313,3.4508477757815044
nep_2099_2951995413,0.0,5.9046666666666665,mfa_input,-48.32422206038136,-48.453483178065376,7.866306624281835,10.031582699700056
nep_6834_5746530753,0.0,2.594333333333333,mfa_input,-47.92260270873552,-47.04786569931928,7.86629922233728,7.632960795840926
nep_2099_7850450489,0.0,4.6066666666666665,mfa_input,-43.963356663503255,-44.35144444729419,7.86629922233728,12.275409665609132
nep_0546_3988642046,0.0,10.176333333333334,mfa_input,-48.22390717092338,-49.52850687615225,7.86629922233728,7.2976057996385215
nep_2099_6109436534,0.0,8.373333333333333,mfa_input,-48.28881048387097,-50.34765842982701,7.866291820392726,3.3814545304360433
nep_6834_4025749400,0.0,4.068666666666667,mfa_input,-48.98936578624079,-49.11459581779711,7.866291820392726,8.848696235542482
nep_6834_8455496039,0.0,6.0713333333333335,mfa_input,-49.801859169069196,-57.962595478180916,7.63117689427644,1.1914022069164023
nep_3960_2541824245,0.0,6.463333333333333,mfa_input,-49.73805751741486,-49.83814232924889,7.570315103100805,8.150194799992448
nep_3614_4520523430,0.0,3.509,mfa_input,-46.18356592770655,-46.40769532147576,7.570310073703051,17.109898471214834
nep_6834_2441033927,0.0,2.8866666666666667,mfa_input,-49.33025721777682,-50.51628802372859,7.570308397237132,12.108931539752911
nep_3960_3941850877,0.0,3.233,mfa_input,-46.495700706269346,-48.3294809402958,7.551816125506165,17.033939990317947
nep_0546_1266766076,0.0,4.431,mfa_input,-47.00043647714447,-48.118465547976285,7.551816125506165,14.030958047184978
nep_0546_2566323184,0.0,7.291666666666667,mfa_input,-46.37370863340192,-45.42962050732271,7.551816125506165,7.633704342273843
nep_2099_3837561282,0.0,6.773333333333333,mfa_input,-48.69914951070901,-49.79108559744699,7.551813400505502,5.724317522811425
nep_6834_4709121220,0.0,3.1106666666666665,mfa_input,-46.75074733721865,-49.134078674316406,7.551813400505502,10.252470912561245
nep_3614_2642663118,0.0,2.0336666666666665,mfa_input,-46.58304148706897,-46.88860530853272,7.5518120380051705,16.972064952859164
nep_2099_2898115278,0.0,8.658,mfa_input,-47.370886258660505,-48.89914287839617,7.551805225503512,8.838071946040309
nep_3614_8758215239,0.0,6.188666666666666,mfa_input,-47.50780618941842,-48.944191336631775,7.551805225503512,11.04298260423375
nep_2099_1239490722,0.0,5.0696666666666665,mfa_input,-44.878386187130175,-44.80492837088449,7.52568733748443,1.7711862668921672
nep_6834_4963803865,0.0,7.934333333333333,mfa_input,-48.645442544136195,-49.096435645958046,7.245387103379168,5.737761865768988
nep_0283_8753376916,0.0,8.689666666666668,mfa_input,-48.6175291283084,-49.834982299804686,7.245379701434613,4.662512149994846
nep_0546_8337996134,0.0,4.014,mfa_input,-40.036729465399006,-40.74303930455988,7.245379701434613,20.21260535132823
